Header Row Count,3,Header Row Count,name,type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
row number #1,row number #2,row number #3,row number #4,date #1,date #2,date #3,date # 4,date # 5,date # 6,date # 7,date # 8,day of week #1,day of week #2,day of week #3,day of week #4,short string #1,short string #2,short string #3,short string #4,short string #5,short string #6,short string #7,short string #8,gender #1,gender #2,gender #3,gender #4,ss #1,ss #2,url #1,url #2,y or n #1,y or n #2,y or n #3,y or n #4,short int #1,short int #2,short int #3,short int #4,short int #5,short int #6,short int #7,short int #8,short int #9,short int #10,short int #11,short int #12,long string #1,long string #2,long string #3,long string #4,long string #5,long string #6,long string #7,long string #8,float #1,float #2,float #3,float #4,float #5,float #6,float #7,float #8
40,40,100040,Record # :040,2/9/13,11/12/13,12/13/13,2/9/13,11/12/13,12/13/13,2/9/13,2/9/13,Saturday,Sat,BadDay,bad,AAAA,OOOO,LLLL,aaaa,oooo,llll,AAAA,oooo,f,g,friend,very bad,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,n,0,n,x,20,999,1020,9999,1273,2735,7356,43567,12384,23846,38467,84678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Betty Smith,AAAA-OOOO-LLLL-aaaa,0.04,1.039,1.039,10.049,0.04,1.039,0.139,10.049
41,41,100041,Record # :041,2/10/13,11/12/13,11/12/13,2/10/13,11/12/13,11/12/13,2/10/13,2/10/13,Sunday,Sun,Sun,Sun,AAAA,PPPP,KKKK,aaaa,pppp,kkkk,AAAA,pppp,m,m,m,m,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,y,y,y,y,1,1,1001,1001,1274,2745,7456,44567,12385,23856,38567,85678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,fred smith,AAAA-PPPP-KKKK-aaaa,0.041,1.04,1.04,10.05,0.041,1.04,0.14,10.05
42,42,100042,Record # :042,2/11/13,11/12/13,11/12/13,2/11/13,11/12/13,11/12/13,2/11/13,2/11/13,Monday,Mon,Monday,Mon,AAAA,QQQQ,JJJJ,aaaa,qqqq,jjjj,AAAA,qqqq,f,f,f,f,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,n,n,n,n,2,2,1002,1002,1275,2755,7556,45567,12386,23866,38667,86678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Fred Smith,AAAA-QQQQ-JJJJ-aaaa,0.042,1.041,1.041,10.051,0.042,1.041,0.141,10.051
43,43,100043,Record # :043,2/12/13,11/12/13,11/12/13,2/12/13,11/12/13,11/12/13,2/12/13,2/12/13,Tuesday,Tue,Tuesday,Tue,AAAA,RRRR,IIII,aaaa,rrrr,iiii,AAAA,rrrr,m,b,b,b,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,y,1,yes,y,3,3,1003,1003,1276,2765,7656,46567,12387,23876,38767,87678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,fred j smith,AAAA-RRRR-IIII-aaaa,0.043,1.042,1.042,10.052,0.043,1.042,0.142,10.052
44,44,100044,Record # :044,2/13/13,11/12/13,11/12/13,2/13/13,11/12/13,11/12/13,2/13/13,2/13/13,Wednesday,Wed,Wednesday,Wed,AAAA,SSSS,HHHH,aaaa,ssss,hhhh,AAAA,ssss,f,g,g,g,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,n,0,no,n,4,4,1004,1004,1277,2775,7756,47567,12388,23886,38867,88678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Fred J. Smith,AAAA-SSSS-HHHH-aaaa,0.044,1.043,1.043,10.053,0.044,1.043,0.143,10.053
45,45,100045,Record # :045,2/14/13,11/12/13,11/12/13,2/14/13,11/12/13,11/12/13,2/14/13,2/14/13,Thursday,Thu,Thursday,Thu,AAAA,TTTT,GGGG,aaaa,tttt,gggg,AAAA,tttt,m,m,male,male,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,y,y,1,y,5,5,1005,1005,1278,2785,7856,48567,12389,23896,38967,89678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Fred Smith III,AAAA-TTTT-GGGG-aaaa,0.045,1.044,1.044,10.054,0.045,1.044,0.144,10.054
46,46,100046,Record # :046,2/15/13,11/12/13,11/12/13,2/15/13,11/12/13,11/12/13,2/15/13,2/15/13,Friday,Fri,Friday,Fri,AAAA,UUUU,FFFF,aaaa,uuuu,ffff,AAAA,uuuu,f,f,female,female,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,n,n,0,n,6,6,1006,1006,1279,2795,7956,49567,12390,23906,39067,90678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Sir Fred Smith,AAAA-UUUU-FFFF-aaaa,0.046,1.045,1.045,10.055,0.046,1.045,0.145,10.055
47,47,100047,Record # :047,2/16/13,11/12/13,11/12/13,2/16/13,11/12/13,11/12/13,2/16/13,2/16/13,Saturday,Sat,Saturday,Sat,AAAA,VVVV,EEEE,aaaa,vvvv,eeee,AAAA,vvvv,m,b,boy,boy,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,y,1,y,y,7,7,1007,1007,1280,2805,8056,50567,12391,23916,39167,91678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Fred Smith Senior,AAAA-VVVV-EEEE-aaaa,0.047,1.046,1.046,10.056,0.047,1.046,0.146,10.056
48,48,100048,Record # :048,2/17/13,11/12/13,11/12/13,2/17/13,11/12/13,11/12/13,2/17/13,2/17/13,Sunday,Sun,Sunday,Sun,AAAA,WWWW,DDDD,aaaa,wwww,dddd,AAAA,wwww,f,g,girl,girl,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,n,0,n,n,8,8,1008,1008,1281,2815,8156,51567,12392,23926,39267,92678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Fred Smith Junior,AAAA-WWWW-DDDD-aaaa,0.048,1.047,1.047,10.057,0.048,1.047,0.147,10.057
49,49,100049,Record # :049,2/18/13,11/12/13,11/12/13,2/18/13,11/12/13,11/12/13,2/18/13,2/18/13,Monday,Mon,Monday,Mon,AAAA,XXXX,CCCC,aaaa,xxxx,cccc,AAAA,xxxx,m,m,man,man,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,y,y,y,y,9,9,1009,1009,1282,2825,8256,52567,12393,23936,39367,93678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Mary Smith,AAAA-XXXX-CCCC-aaaa,0.049,1.048,1.048,10.058,0.049,1.048,0.148,10.058
50,50,100050,Record # :050,2/19/13,11/12/13,12/13/13,2/19/13,11/12/13,12/13/13,2/19/13,2/19/13,Tuesday,Tue,BadDay,Tuesday,AAAA,YYYY,BBBB,aaaa,yyyy,bbbb,notuc,NOLC,f,f,friend,very bad,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,n,n,n,x,10,10,1010,1010,1283,2835,8356,53567,12394,23946,39467,94678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Betty Smith,AAAA-YYYY-BBBB-aaaa,0.05,1.049,1.049,10.059,0.05,1.049,0.149,10.059
51,51,100051,Record # :051,2/20/13,11/12/13,11/12/13,2/20/13,11/12/13,11/12/13,2/20/13,2/20/13,Wednesday,Wed,Wednesday,Wed,AAAA,AAAA,ZZZZ,aaaa,aaaa,zzzz,AAAA,aaaa,m,b,m,m,333-22-444,22-333-4444,http://www.wirelessgeneration.com,not a URL at all,y,1,y,y,11,11,1011,1011,1284,2845,8456,54567,12395,23956,39567,95678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,fred smith,AAAA-AAAA-ZZZZ-aaaa,0.051,1.05,1.05,10.06,0.051,1.05,0.15,10.06
52,52,100052,Record # :052,2/21/13,11/12/13,11/12/13,2/21/13,11/12/13,11/12/13,2/21/13,2/21/13,Thursday,Thu,Thursday,Thu,AAAA,BBBB,YYYY,aaaa,bbbb,yyyy,AAAA,bbbb,f,g,f,f,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,n,0,n,n,12,12,1012,1012,1285,2855,8556,55567,12396,23966,39667,96678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Fred Smith,AAAA-BBBB-YYYY-aaaa,0.052,1.051,1.051,10.061,0.052,1.051,0.151,10.061
53,53,100053,Record # :053,2/22/13,11/12/13,11/12/13,2/22/13,11/12/13,11/12/13,2/22/13,2/22/13,Friday,Fri,Friday,Fri,AAAA,CCCC,XXXX,aaaa,cccc,xxxx,AAAA,cccc,m,m,b,b,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,y,y,yes,y,13,13,1013,1013,1286,2865,8656,56567,12397,23976,39767,97678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,fred j smith,AAAA-CCCC-XXXX-aaaa,0.053,1.052,1.052,10.062,0.053,1.052,0.152,10.062
54,54,100054,Record # :054,2/23/13,11/12/13,11/12/13,2/23/13,11/12/13,11/12/13,2/23/13,2/23/13,Saturday,Sat,Saturday,Sat,AAAA,DDDD,WWWW,aaaa,dddd,wwww,AAAA,dddd,f,f,g,g,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,n,n,no,n,14,14,1014,1014,1287,2875,8756,57567,12398,23986,39867,98678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Fred J. Smith,AAAA-DDDD-WWWW-aaaa,0.054,1.053,1.053,10.063,0.054,1.053,0.153,10.063
55,55,100055,Record # :055,2/24/13,11/12/13,11/12/13,2/24/13,11/12/13,11/12/13,2/24/13,2/24/13,Sunday,Sun,Sunday,Sun,AAAA,EEEE,VVVV,aaaa,eeee,vvvv,AAAA,eeee,m,b,male,male,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,y,1,1,y,15,15,1015,1015,1288,2885,8856,58567,12399,23996,39967,99678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Fred Smith III,AAAA-EEEE-VVVV-aaaa,0.055,1.054,1.054,10.064,0.055,1.054,0.154,10.064
56,56,100056,Record # :056,2/25/13,11/12/13,11/12/13,2/25/13,11/12/13,11/12/13,2/25/13,2/25/13,Monday,Mon,Monday,Mon,AAAA,FFFF,UUUU,aaaa,ffff,uuuu,AAAA,ffff,f,g,female,female,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,n,0,0,n,16,16,1016,1016,1289,2895,8956,59567,12400,24006,40067,100678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Sir Fred Smith,AAAA-FFFF-UUUU-aaaa,0.056,1.055,1.055,10.065,0.056,1.055,0.155,10.065
57,57,100057,Record # :057,2/26/13,11/12/13,11/12/13,2/26/13,11/12/13,11/12/13,2/26/13,2/26/13,Tuesday,Tue,Tuesday,Tue,AAAA,GGGG,TTTT,aaaa,gggg,tttt,AAAA,gggg,m,m,boy,boy,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,y,y,y,y,17,17,1017,1017,1290,2905,9056,60567,12401,24016,40167,101678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Fred Smith Senior,AAAA-GGGG-TTTT-aaaa,0.057,1.056,1.056,10.066,0.057,1.056,0.156,10.066
58,58,100058,Record # :058,2/27/13,11/12/13,11/12/13,2/27/13,11/12/13,11/12/13,2/27/13,2/27/13,Wednesday,Wed,Wednesday,Wed,AAAA,HHHH,SSSS,aaaa,hhhh,ssss,AAAA,hhhh,f,f,girl,girl,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,n,n,n,n,18,18,1018,1018,1291,2915,9156,61567,12402,24026,40267,102678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Fred Smith Junior,AAAA-HHHH-SSSS-aaaa,0.058,1.057,1.057,10.067,0.058,1.057,0.157,10.067
59,59,100059,Record # :059,2/28/13,11/12/13,11/12/13,2/28/13,11/12/13,11/12/13,2/28/13,2/28/13,Thursday,Thu,Thursday,Thu,AAAA,IIII,RRRR,aaaa,iiii,rrrr,AAAA,iiii,m,b,man,man,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,y,1,y,y,19,19,1019,1019,1292,2925,9256,62567,12403,24036,40367,103678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Mary Smith,AAAA-IIII-RRRR-aaaa,0.059,1.058,1.058,10.068,0.059,1.058,0.158,10.068
60,60,100060,Record # :060,3/1/13,11/12/13,12/13/13,3/1/13,11/12/13,12/13/13,3/1/13,3/1/13,Friday,Fri,BadDay,Fri,AAAA,JJJJ,QQQQ,aaaa,jjjj,qqqq,AAAA,jjjj,f,g,friend,very bad,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,n,0,n,x,20,999,1020,9999,1293,2935,9356,63567,12404,24046,40467,104678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Betty Smith,AAAA-JJJJ-QQQQ-aaaa,0.06,1.059,1.059,10.069,0.06,1.059,0.159,10.069
61,61,100061,Record # :061,3/2/13,11/12/13,11/12/13,3/2/13,11/12/13,11/12/13,3/2/13,3/2/13,Saturday,Sat,Saturday,Sat,AAAA,KKKK,PPPP,aaaa,kkkk,pppp,AAAA,kkkk,m,m,m,m,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,y,y,y,y,1,1,1001,1001,1294,2945,9456,64567,12405,24056,40567,105678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,fred smith,AAAA-KKKK-PPPP-aaaa,0.061,1.06,1.06,10.07,0.061,1.06,0.16,10.07
62,62,100062,Record # :062,3/3/13,11/12/13,11/12/13,3/3/13,11/12/13,11/12/13,3/3/13,3/3/13,Sunday,Sun,Sunday,Sun,AAAA,LLLL,OOOO,aaaa,llll,oooo,AAAA,llll,f,f,f,f,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,n,n,n,n,2,2,1002,1002,1295,2955,9556,65567,12406,24066,40667,106678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Fred Smith,AAAA-LLLL-OOOO-aaaa,0.062,1.061,1.061,10.071,0.062,1.061,0.161,10.071
63,63,100063,Record # :063,3/4/13,11/12/13,11/12/13,3/4/13,11/12/13,11/12/13,3/4/13,3/4/13,Monday,Mon,Monday,Mon,AAAA,MMMM,NNNN,aaaa,mmmm,nnnn,AAAA,mmmm,m,b,b,b,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,y,1,yes,y,3,3,1003,1003,1296,2965,9656,66567,12407,24076,40767,107678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,fred j smith,AAAA-MMMM-NNNN-aaaa,0.063,1.062,1.062,10.072,0.063,1.062,0.162,10.072
64,64,100064,Record # :064,3/5/13,11/12/13,11/12/13,3/5/13,11/12/13,11/12/13,3/5/13,3/5/13,Tuesday,Tue,Tuesday,Tue,AAAA,NNNN,MMMM,aaaa,nnnn,mmmm,AAAA,nnnn,f,g,g,g,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,n,0,no,n,4,4,1004,1004,1297,2975,9756,67567,12408,24086,40867,108678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Fred J. Smith,AAAA-NNNN-MMMM-aaaa,0.064,1.063,1.063,10.073,0.064,1.063,0.163,10.073
65,65,100065,Record # :065,3/6/13,11/12/13,11/12/13,3/6/13,11/12/13,11/12/13,3/6/13,3/6/13,Wednesday,Wed,Wednesday,Wed,AAAA,OOOO,LLLL,aaaa,oooo,llll,AAAA,oooo,m,m,male,male,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,y,y,1,y,5,5,1005,1005,1298,2985,9856,68567,12409,24096,40967,109678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Fred Smith III,AAAA-OOOO-LLLL-aaaa,0.065,1.064,1.064,10.074,0.065,1.064,0.164,10.074
66,66,100066,Record # :066,3/7/13,11/12/13,11/12/13,3/7/13,11/12/13,11/12/13,3/7/13,3/7/13,Thursday,Thu,Thursday,Thu,AAAA,PPPP,KKKK,aaaa,pppp,kkkk,AAAA,pppp,f,f,female,female,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,n,n,0,n,6,6,1006,1006,1299,2995,9956,69567,12410,24106,41067,110678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Sir Fred Smith,AAAA-PPPP-KKKK-aaaa,0.066,1.065,1.065,10.075,0.066,1.065,0.165,10.075
67,67,100067,Record # :067,3/8/13,11/12/13,11/12/13,3/8/13,11/12/13,11/12/13,3/8/13,3/8/13,Friday,Fri,Friday,Fri,AAAA,QQQQ,JJJJ,aaaa,qqqq,jjjj,AAAA,qqqq,m,b,boy,boy,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,y,1,y,y,7,7,1007,1007,1300,3005,10056,70567,12411,24116,41167,111678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Fred Smith Senior,AAAA-QQQQ-JJJJ-aaaa,0.067,1.066,1.066,10.076,0.067,1.066,0.166,10.076
68,68,100068,Record # :068,3/9/13,11/12/13,11/12/13,3/9/13,11/12/13,11/12/13,3/9/13,3/9/13,Saturday,Sat,Saturday,Sat,AAAA,RRRR,IIII,aaaa,rrrr,iiii,AAAA,rrrr,f,g,girl,girl,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,n,0,n,n,8,8,1008,1008,1301,3015,10156,71567,12412,24126,41267,112678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Fred Smith Junior,AAAA-RRRR-IIII-aaaa,0.068,1.067,1.067,10.077,0.068,1.067,0.167,10.077
69,69,100069,Record # :069,3/10/13,11/12/13,11/12/13,3/10/13,11/12/13,11/12/13,3/10/13,3/10/13,Sunday,Sun,Sunday,Sun,AAAA,SSSS,HHHH,aaaa,ssss,hhhh,AAAA,ssss,m,m,man,man,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,y,y,y,y,9,9,1009,1009,1302,3025,10256,72567,12413,24136,41367,113678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Mary Smith,AAAA-SSSS-HHHH-aaaa,0.069,1.068,1.068,10.078,0.069,1.068,0.168,10.078
70,70,100070,Record # :070,3/11/13,11/12/13,12/13/13,3/11/13,11/12/13,12/13/13,3/11/13,3/11/13,Monday,Mon,BadDay,Mon,AAAA,TTTT,GGGG,aaaa,tttt,gggg,AAAA,tttt,f,f,friend,very bad,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,n,n,n,x,10,10,1010,1010,1303,3035,10356,73567,12414,24146,41467,114678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Betty Smith,AAAA-TTTT-GGGG-aaaa,0.07,1.069,1.069,10.079,0.07,1.069,0.169,10.079
71,71,100071,Record # :071,3/12/13,11/12/13,11/12/13,3/12/13,11/12/13,11/12/13,3/12/13,3/12/13,Tuesday,Tue,Tuesday,Tue,AAAA,UUUU,FFFF,aaaa,uuuu,ffff,AAAA,uuuu,m,b,m,m,333-22-444,22-333-4444,http://www.wirelessgeneration.com,not a URL at all,y,1,y,y,11,11,1011,1011,1304,3045,10456,74567,12415,24156,41567,115678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,fred smith,AAAA-UUUU-FFFF-aaaa,0.071,1.07,1.07,10.08,0.071,1.07,0.17,10.08
72,72,100072,Record # :072,3/13/13,11/12/13,11/12/13,3/13/13,11/12/13,11/12/13,3/13/13,3/13/13,Wednesday,Wed,Wednesday,Wed,AAAA,VVVV,EEEE,aaaa,vvvv,eeee,AAAA,vvvv,f,g,f,f,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,n,0,n,n,12,12,1012,1012,1305,3055,10556,75567,12416,24166,41667,116678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Fred Smith,AAAA-VVVV-EEEE-aaaa,0.072,1.071,1.071,10.081,0.072,1.071,0.171,10.081
73,73,100073,Record # :073,3/14/13,11/12/13,11/12/13,3/14/13,11/12/13,11/12/13,3/14/13,3/14/13,Thursday,Thu,Thursday,Thu,AAAA,WWWW,DDDD,aaaa,wwww,dddd,AAAA,wwww,m,m,b,b,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,y,y,yes,y,13,13,1013,1013,1306,3065,10656,76567,12417,24176,41767,117678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,fred j smith,AAAA-WWWW-DDDD-aaaa,0.073,1.072,1.072,10.082,0.073,1.072,0.172,10.082
74,74,100074,Record # :074,3/15/13,11/12/13,11/12/13,3/15/13,11/12/13,11/12/13,3/15/13,3/15/13,Friday,Fri,Friday,Fri,AAAA,XXXX,CCCC,aaaa,xxxx,cccc,AAAA,xxxx,f,f,g,g,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,n,n,no,n,14,14,1014,1014,1307,3075,10756,77567,12418,24186,41867,118678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Fred J. Smith,AAAA-XXXX-CCCC-aaaa,0.074,1.073,1.073,10.083,0.074,1.073,0.173,10.083
75,75,100075,Record # :075,3/16/13,11/12/13,11/12/13,3/16/13,11/12/13,11/12/13,3/16/13,3/16/13,Saturday,Sat,Friday,Sat,AAAA,YYYY,BBBB,aaaa,yyyy,bbbb,notuc,NOLC,m,b,male,male,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,y,1,1,y,15,15,1015,1015,1308,3085,10856,78567,12419,24196,41967,119678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Fred Smith III,AAAA-YYYY-BBBB-aaaa,0.075,1.074,1.074,10.084,0.075,1.074,0.174,10.084
76,76,100076,Record # :076,3/17/13,11/12/13,11/12/13,3/17/13,11/12/13,11/12/13,3/17/13,3/17/13,Sunday,Sun,Sunday,Sun,AAAA,AAAA,ZZZZ,aaaa,aaaa,zzzz,AAAA,aaaa,f,g,female,female,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,n,0,0,n,16,16,1016,1016,1309,3095,10956,79567,12420,24206,42067,120678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Sir Fred Smith,AAAA-AAAA-ZZZZ-aaaa,0.076,1.075,1.075,10.085,0.076,1.075,0.175,10.085
77,77,100077,Record # :077,3/18/13,11/12/13,11/12/13,3/18/13,11/12/13,11/12/13,3/18/13,3/18/13,Monday,Mon,Monday,Mon,AAAA,BBBB,YYYY,aaaa,bbbb,yyyy,AAAA,bbbb,m,m,boy,boy,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,y,y,y,y,17,17,1017,1017,1310,3105,11056,80567,12421,24216,42167,121678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Fred Smith Senior,AAAA-BBBB-YYYY-aaaa,0.077,1.076,1.076,10.086,0.077,1.076,0.176,10.086
78,78,100078,Record # :078,3/19/13,11/12/13,11/12/13,3/19/13,11/12/13,11/12/13,3/19/13,3/19/13,Tuesday,Tue,Tuesday,Tue,AAAA,CCCC,XXXX,aaaa,cccc,xxxx,AAAA,cccc,f,f,girl,girl,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,n,n,n,n,18,18,1018,1018,1311,3115,11156,81567,12422,24226,42267,122678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Fred Smith Junior,AAAA-CCCC-XXXX-aaaa,0.078,1.077,1.077,10.087,0.078,1.077,0.177,10.087
79,79,100079,Record # :079,3/20/13,11/12/13,11/12/13,3/20/13,11/12/13,11/12/13,3/20/13,3/20/13,Wednesday,Wed,Wednesday,Wed,AAAA,DDDD,WWWW,aaaa,dddd,wwww,AAAA,dddd,m,b,man,man,333-22-444,333-22-4444,http://www.wirelessgeneration.com,http://www.wirelessgeneration.com,y,1,y,y,19,19,1019,1019,1312,3125,11256,82567,12423,24236,42367,123678,the cat sat on the mat,    this has four leading space characters,this has four trailing spaces    ,    this has four leading and four trailing spaces    ,this should not be blank,this should not be blank,Mary Smith,AAAA-DDDD-WWWW-aaaa,0.079,1.078,1.078,10.088,0.079,1.078,0.178,10.088
